"구분별","상태별","시점","인원[명]",
"전체","신규","2020. 04. 09","39",
"전체","신규","2020. 04. 10","27",
"전체","신규","2020. 04. 11","30",
"전체","신규","2020. 04. 12","32",
"전체","신규","2020. 04. 13","25",
"전체","신규","2020. 04. 14","27",
"전체","신규","2020. 04. 15","27",
"전체","신규","2020. 04. 16","22",
"전체","신규","2020. 04. 17","22",
"전체","신규","2020. 04. 18","18",
"전체","신규","2020. 04. 19","8",
"전체","신규","2020. 04. 20","13",
"전체","신규","2020. 04. 21","9",
"전체","신규","2020. 04. 22","11",
"전체","신규","2020. 04. 23","8",
"전체","신규","2020. 04. 24","6",
"전체","신규","2020. 04. 25","10",
"전체","신규","2020. 04. 26","10",
"전체","신규","2020. 04. 27","10",
"전체","신규","2020. 04. 28","14",
"전체","신규","2020. 04. 29","9",
"전체","신규","2020. 04. 30","4",
"전체","신규","2020. 05. 01","9",
"전체","신규","2020. 05. 02","6",
"전체","신규","2020. 05. 03","13",
"전체","신규","2020. 05. 04","8",
"전체","신규","2020. 05. 05","3",
"전체","신규","2020. 05. 06","2",
"전체","신규","2020. 05. 07","4",
"전체","신규","2020. 05. 08","12",
"전체","신규","2020. 05. 09","18",
"전체","신규","2020. 05. 10","34",
"전체","신규","2020. 05. 11","35",
"전체","신규","2020. 05. 12","27",
"전체","신규","2020. 05. 13","26",
"전체","신규","2020. 05. 14","29",
"전체","신규","2020. 05. 15","27",
"전체","신규","2020. 05. 16","19",
"전체","신규","2020. 05. 17","13",
"전체","신규","2020. 05. 18","15",
"전체","신규","2020. 05. 19","13",
"전체","신규","2020. 05. 20","32",
"전체","신규","2020. 05. 21","12",
"전체","신규","2020. 05. 22","20",
"전체","신규","2020. 05. 23","23",
"전체","신규","2020. 05. 24","25",
"전체","신규","2020. 05. 25","16",
"전체","신규","2020. 05. 26","19",
"전체","신규","2020. 05. 27","40",
"전체","신규","2020. 05. 28","79",
"전체","신규","2020. 05. 29","58",
"전체","신규","2020. 05. 30","39",
"전체","신규","2020. 05. 31","27",
"전체","신규","2020. 06. 01","35",
"전체","신규","2020. 06. 02","38",
"전체","신규","2020. 06. 03","49",
"전체","신규","2020. 06. 04","39",
"전체","신규","2020. 06. 05","39",
"전체","신규","2020. 06. 06","51",
"전체","신규","2020. 06. 07","57",
"전체","신규","2020. 06. 08","38",
"전체","신규","2020. 06. 09","38",
"전체","신규","2020. 06. 10","50",
"전체","신규","2020. 06. 11","45",
"전체","신규","2020. 06. 12","56",
"전체","신규","2020. 06. 13","49",
"전체","신규","2020. 06. 14","34",
"전체","신규","2020. 06. 15","37",
"전체","신규","2020. 06. 16","34",
"전체","신규","2020. 06. 17","43",
"전체","신규","2020. 06. 18","59",
"전체","신규","2020. 06. 19","49",
"전체","신규","2020. 06. 20","67",
"전체","신규","2020. 06. 21","48",
"전체","신규","2020. 06. 22","17",
"전체","신규","2020. 06. 23","46",
"전체","신규","2020. 06. 24","51",
"전체","신규","2020. 06. 25","28",
"전체","신규","2020. 06. 26","39",
"전체","신규","2020. 06. 27","51",
"전체","신규","2020. 06. 28","62",
"전체","신규","2020. 06. 29","42",
"전체","신규","2020. 06. 30","43",
"전체","신규","2020. 07. 01","51",
"전체","신규","2020. 07. 02","54",
"전체","신규","2020. 07. 03","61",
"전체","신규","2020. 07. 04","63",
"전체","신규","2020. 07. 05","61",
"전체","신규","2020. 07. 06","48",
"전체","신규","2020. 07. 07","44",
"전체","신규","2020. 07. 08","62",
"전체","신규","2020. 07. 09","50",
"전체","신규","2020. 07. 10","45",
"전체","신규","2020. 07. 11","35",
"전체","신규","2020. 07. 12","44",
"전체","신규","2020. 07. 13","62",
"전체","신규","2020. 07. 14","33",
"전체","신규","2020. 07. 15","39",
"전체","신규","2020. 07. 16","61",
"전체","신규","2020. 07. 17","60",
"전체","신규","2020. 07. 18","39",
"전체","신규","2020. 07. 19","34",
"전체","신규","2020. 07. 20","26",
"전체","신규","2020. 07. 21","45",
"전체","신규","2020. 07. 22","63",
"전체","신규","2020. 07. 23","59",
"전체","신규","2020. 07. 24","41",
"전체","신규","2020. 07. 25","113",
"전체","신규","2020. 07. 26","58",
"전체","신규","2020. 07. 27","25",
"전체","신규","2020. 07. 28","28",
"전체","신규","2020. 07. 29","48",
"전체","신규","2020. 07. 30","18",
"전체","신규","2020. 07. 31","36",
"전체","신규","2020. 08. 01","31",
"전체","신규","2020. 08. 02","30",
"전체","신규","2020. 08. 03","23",
"전체","신규","2020. 08. 04","34",
"전체","신규","2020. 08. 05","33",
"전체","신규","2020. 08. 06","43",
"전체","신규","2020. 08. 07","20",
"전체","신규","2020. 08. 08","43",
"전체","신규","2020. 08. 09","36",
"전체","신규","2020. 08. 10","28",
"전체","신규","2020. 08. 11","34",
"전체","신규","2020. 08. 12","54",
"전체","신규","2020. 08. 13","56",
"전체","신규","2020. 08. 14","103",
"전체","신규","2020. 08. 15","166",
"전체","신규","2020. 08. 16","279",
"전체","신규","2020. 08. 17","197",
"전체","신규","2020. 08. 18","246",
"전체","신규","2020. 08. 19","297",
"전체","신규","2020. 08. 20","288",
"전체","신규","2020. 08. 21","324",
"전체","신규","2020. 08. 22","332",
"전체","신규","2020. 08. 23","397",
"전체","신규","2020. 08. 24","266",
"전체","신규","2020. 08. 25","280",
"전체","신규","2020. 08. 26","320",
"전체","신규","2020. 08. 27","441",
"전체","신규","2020. 08. 28","371",
"전체","신규","2020. 08. 29","323",
"전체","신규","2020. 08. 30","299",
"전체","신규","2020. 08. 31","248",
"전체","신규","2020. 09. 01","235",
"전체","신규","2020. 09. 02","267",
