기준일자,상품명,당일신규실행건수,당일신규실행금액(억원)
2019-01-01,취업후상환학자금_등록금,0,0
2019-01-01,일반상환학자금_생활비,0,0
2019-01-01,일반상환학자금_등록금,0,0
2019-01-01,취업후상환학자금_생활비,0,0
2019-01-10,일반상환학자금_등록금,1268,70
2019-01-10,일반상환학자금_생활비,500,7
2019-01-10,취업후상환학자금_생활비,39,0
2019-01-10,취업후상환학자금_등록금,4,0
2019-01-11,일반상환학자금_생활비,459,6
2019-01-11,취업후상환학자금_생활비,80,0
2019-01-11,취업후상환학자금_등록금,7,0
2019-01-11,일반상환학자금_등록금,1162,63
2019-01-12,취업후상환학자금_등록금,8,0
2019-01-12,취업후상환학자금_생활비,61,0
2019-01-12,일반상환학자금_생활비,243,3
2019-01-12,일반상환학자금_등록금,555,29
2019-01-13,일반상환학자금_등록금,0,0
2019-01-13,일반상환학자금_생활비,0,0
2019-01-13,취업후상환학자금_등록금,0,0
2019-01-13,취업후상환학자금_생활비,0,0
2019-01-14,일반상환학자금_등록금,0,0
2019-01-14,일반상환학자금_생활비,0,0
2019-01-14,취업후상환학자금_등록금,0,0
2019-01-14,취업후상환학자금_생활비,0,0
2019-01-15,일반상환학자금_등록금,456,21
2019-01-15,일반상환학자금_생활비,258,3
2019-01-15,취업후상환학자금_등록금,11,0
2019-01-15,취업후상환학자금_생활비,84,0
2019-01-16,취업후상환학자금_생활비,95,1
2019-01-16,취업후상환학자금_등록금,6,0
2019-01-16,일반상환학자금_등록금,369,17
2019-01-16,일반상환학자금_생활비,221,3
2019-01-17,취업후상환학자금_등록금,10,0
2019-01-17,취업후상환학자금_생활비,118,1
2019-01-17,일반상환학자금_생활비,233,3
2019-01-17,일반상환학자금_등록금,344,14
2019-01-18,취업후상환학자금_등록금,13,0
2019-01-18,일반상환학자금_생활비,211,2
2019-01-18,일반상환학자금_등록금,341,15
2019-01-18,취업후상환학자금_생활비,154,1
2019-01-19,취업후상환학자금_생활비,223,1
2019-01-19,취업후상환학자금_등록금,21,0
2019-01-19,일반상환학자금_등록금,264,10
2019-01-19,일반상환학자금_생활비,217,2
2019-01-20,일반상환학자금_등록금,0,0
2019-01-20,일반상환학자금_생활비,0,0
2019-01-20,취업후상환학자금_등록금,0,0
2019-01-20,취업후상환학자금_생활비,0,0
2019-01-21,취업후상환학자금_생활비,0,0
2019-01-21,취업후상환학자금_등록금,0,0
2019-01-21,일반상환학자금_생활비,0,0
2019-01-21,일반상환학자금_등록금,0,0
2019-01-22,취업후상환학자금_등록금,48,1
2019-01-22,취업후상환학자금_생활비,335,2
2019-01-22,일반상환학자금_생활비,403,4
2019-01-22,일반상환학자금_등록금,555,21
2019-01-23,취업후상환학자금_등록금,80,3
2019-01-23,일반상환학자금_생활비,340,4
2019-01-23,일반상환학자금_등록금,586,21
2019-01-23,취업후상환학자금_생활비,348,2
2019-01-24,일반상환학자금_생활비,359,4
2019-01-24,취업후상환학자금_등록금,64,2
2019-01-24,취업후상환학자금_생활비,442,2
2019-01-24,일반상환학자금_등록금,620,30
2019-01-25,취업후상환학자금_등록금,89,2
2019-01-25,일반상환학자금_생활비,366,4
2019-01-25,일반상환학자금_등록금,514,21
2019-01-25,취업후상환학자금_생활비,463,3
2019-01-26,일반상환학자금_생활비,983,7
2019-01-26,취업후상환학자금_등록금,108,3
2019-01-26,취업후상환학자금_생활비,5028,25
2019-01-26,일반상환학자금_등록금,516,21
2019-01-27,일반상환학자금_생활비,0,0
2019-01-27,일반상환학자금_등록금,0,0
2019-01-27,취업후상환학자금_등록금,0,0
2019-01-27,취업후상환학자금_생활비,0,0
2019-01-28,일반상환학자금_등록금,0,0
2019-01-28,일반상환학자금_생활비,0,0
2019-01-28,취업후상환학자금_등록금,0,0
2019-01-28,취업후상환학자금_생활비,0,0
2019-01-29,일반상환학자금_등록금,884,35
2019-01-29,일반상환학자금_생활비,1009,9
2019-01-29,취업후상환학자금_등록금,100,3
2019-01-29,취업후상환학자금_생활비,3605,18
2019-01-30,일반상환학자금_등록금,888,36
2019-01-30,일반상환학자금_생활비,753,7
2019-01-30,취업후상환학자금_등록금,109,3
2019-01-30,취업후상환학자금_생활비,2145,11
2019-01-31,일반상환학자금_등록금,7912,301
2019-01-31,일반상환학자금_생활비,3042,40
2019-01-31,취업후상환학자금_등록금,3579,112
2019-01-31,취업후상환학자금_생활비,3199,30
2019-02-01,취업후상환학자금_생활비,2588,20
2019-02-01,취업후상환학자금_등록금,1952,63
2019-02-01,일반상환학자금_생활비,2158,26
2019-02-01,일반상환학자금_등록금,5334,200
2019-02-02,취업후상환학자금_등록금,1506,47
2019-02-02,일반상환학자금_생활비,2063,19
2019-02-02,일반상환학자금_등록금,2786,103
2019-02-02,취업후상환학자금_생활비,6314,37
2019-02-03,취업후상환학자금_등록금,0,0
2019-02-03,일반상환학자금_생활비,0,0
2019-02-03,일반상환학자금_등록금,0,0
2019-02-03,취업후상환학자금_생활비,0,0
2019-02-04,일반상환학자금_생활비,0,0
2019-02-04,취업후상환학자금_생활비,0,0
2019-02-04,취업후상환학자금_등록금,0,0
2019-02-04,일반상환학자금_등록금,0,0
2019-02-05,일반상환학자금_등록금,0,0
2019-02-05,일반상환학자금_생활비,0,0
2019-02-05,취업후상환학자금_등록금,0,0
2019-02-05,취업후상환학자금_생활비,0,0
2019-02-06,일반상환학자금_등록금,0,0
2019-02-06,취업후상환학자금_생활비,0,0
2019-02-06,일반상환학자금_생활비,0,0
2019-02-06,취업후상환학자금_등록금,0,0
2019-02-07,취업후상환학자금_등록금,0,0
2019-02-07,취업후상환학자금_생활비,0,0
2019-02-07,일반상환학자금_등록금,0,0
2019-02-07,일반상환학자금_생활비,0,0
2019-02-08,취업후상환학자금_생활비,4446,27
2019-02-08,일반상환학자금_등록금,1750,72
2019-02-08,일반상환학자금_생활비,1856,18
2019-02-08,취업후상환학자금_등록금,690,21
2019-02-09,취업후상환학자금_생활비,3207,19
2019-02-09,취업후상환학자금_등록금,451,14
2019-02-09,일반상환학자금_생활비,1253,12
2019-02-09,일반상환학자금_등록금,1213,48
2019-02-10,취업후상환학자금_생활비,0,0
2019-02-10,취업후상환학자금_등록금,0,0
2019-02-10,일반상환학자금_등록금,0,0
2019-02-10,일반상환학자금_생활비,0,0
2019-02-11,취업후상환학자금_생활비,0,0
2019-02-11,취업후상환학자금_등록금,0,0
2019-02-11,일반상환학자금_생활비,0,0
2019-02-11,일반상환학자금_등록금,0,0
2019-02-12,일반상환학자금_생활비,3058,35
2019-02-12,취업후상환학자금_생활비,5485,48
2019-02-12,취업후상환학자금_등록금,4618,121
2019-02-12,일반상환학자금_등록금,5468,173
2019-02-13,취업후상환학자금_등록금,2696,71
2019-02-13,일반상환학자금_생활비,2274,26
2019-02-13,취업후상환학자금_생활비,3524,29
2019-02-13,일반상환학자금_등록금,4281,129
2019-02-14,일반상환학자금_등록금,2661,80
2019-02-14,일반상환학자금_생활비,1694,18
2019-02-14,취업후상환학자금_등록금,1523,41
2019-02-14,취업후상환학자금_생활비,2745,21
2019-02-15,일반상환학자금_등록금,911,30
2019-02-15,일반상환학자금_생활비,1431,13
2019-02-15,취업후상환학자금_생활비,2724,19
2019-02-15,취업후상환학자금_등록금,571,17
2019-02-16,취업후상환학자금_생활비,2809,19
2019-02-16,일반상환학자금_생활비,1764,15
2019-02-16,취업후상환학자금_등록금,643,19
2019-02-16,일반상환학자금_등록금,1085,36
2019-02-17,일반상환학자금_생활비,0,0
2019-02-17,취업후상환학자금_등록금,0,0
2019-02-17,취업후상환학자금_생활비,0,0
2019-02-17,일반상환학자금_등록금,0,0
2019-02-18,취업후상환학자금_생활비,0,0
2019-02-18,취업후상환학자금_등록금,0,0
2019-02-18,일반상환학자금_생활비,0,0
2019-02-18,일반상환학자금_등록금,0,0
2019-02-19,일반상환학자금_생활비,4042,44
2019-02-19,일반상환학자금_등록금,4725,163
2019-02-19,취업후상환학자금_등록금,5951,117
2019-02-19,취업후상환학자금_생활비,6806,63
2019-02-20,취업후상환학자금_등록금,6889,140
2019-02-20,일반상환학자금_생활비,4437,51
2019-02-20,취업후상환학자금_생활비,7012,69
2019-02-20,일반상환학자금_등록금,6564,220
2019-02-21,취업후상환학자금_생활비,7304,73
2019-02-21,취업후상환학자금_등록금,7193,144
2019-02-21,일반상환학자금_생활비,4257,49
2019-02-21,일반상환학자금_등록금,6575,211
2019-02-22,일반상환학자금_등록금,8839,327
2019-02-22,일반상환학자금_생활비,5501,63
2019-02-22,취업후상환학자금_생활비,7128,71
2019-02-22,취업후상환학자금_등록금,6717,143
2019-02-23,일반상환학자금_등록금,8846,321
2019-02-23,취업후상환학자금_등록금,8706,188
2019-02-23,취업후상환학자금_생활비,9025,92
2019-02-23,일반상환학자금_생활비,5465,64
2019-02-24,일반상환학자금_등록금,0,0
2019-02-24,일반상환학자금_생활비,0,0
2019-02-24,취업후상환학자금_생활비,0,0
2019-02-24,취업후상환학자금_등록금,0,0
2019-02-25,취업후상환학자금_등록금,0,0
2019-02-25,일반상환학자금_생활비,0,0
2019-02-25,취업후상환학자금_생활비,0,0
2019-02-25,일반상환학자금_등록금,0,0
2019-02-26,일반상환학자금_생활비,6087,70
2019-02-26,일반상환학자금_등록금,9285,328
2019-02-26,취업후상환학자금_등록금,10806,225
2019-02-26,취업후상환학자금_생활비,12210,124
2019-02-27,취업후상환학자금_생활비,7642,76
2019-02-27,취업후상환학자금_등록금,6100,132
2019-02-27,일반상환학자금_등록금,6807,243
2019-02-27,일반상환학자금_생활비,4289,49
2019-02-28,일반상환학자금_등록금,5490,205
2019-02-28,일반상환학자금_생활비,3389,38
2019-02-28,취업후상환학자금_등록금,4448,98
2019-02-28,취업후상환학자금_생활비,5881,58
2019-03-01,일반상환학자금_생활비,2738,30
2019-03-01,취업후상환학자금_생활비,5332,50
2019-03-01,취업후상환학자금_등록금,3093,68
2019-03-01,일반상환학자금_등록금,3272,109
2019-03-02,취업후상환학자금_등록금,0,0
2019-03-02,일반상환학자금_생활비,0,0
2019-03-02,일반상환학자금_등록금,0,0
2019-03-02,취업후상환학자금_생활비,0,0
2019-03-03,취업후상환학자금_생활비,0,0
2019-03-03,취업후상환학자금_등록금,0,0
2019-03-03,일반상환학자금_등록금,0,0
2019-03-03,일반상환학자금_생활비,0,0
2019-03-04,취업후상환학자금_등록금,0,0
